Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,134.000000,139.139999,131.169998,137.600006,137.600006,1232600
2019-01-03,134.759995,136.259995,129.479996,129.789993,129.789993,1219500
2019-01-04,134.509995,139.500000,133.160004,138.059998,138.059998,1366100
2019-01-07,139.649994,145.850006,138.740005,144.389999,144.389999,1260000
2019-01-08,147.639999,149.820007,144.009995,145.440002,145.440002,1367700
2019-01-09,146.500000,150.330002,144.399994,148.619995,148.619995,1275700
2019-01-10,146.309998,149.970001,144.580002,148.270004,148.270004,965200
2019-01-11,147.309998,150.000000,146.710007,149.429993,149.429993,685300
2019-01-14,147.270004,149.929993,144.690002,149.100006,149.100006,1455200
2019-01-15,149.589996,155.539993,149.589996,154.300003,154.300003,1638200
2019-01-16,155.699997,158.589996,153.300003,158.250000,158.250000,2142000
2019-01-17,156.600006,159.979996,155.820007,157.690002,157.690002,1242500
2019-01-18,160.000000,160.229996,157.690002,158.429993,158.429993,1142900
2019-01-22,157.229996,158.570007,154.100006,156.279999,156.279999,1036400
2019-01-23,158.199997,160.199997,154.479996,156.600006,156.600006,793500
2019-01-24,156.479996,159.399994,156.250000,158.410004,158.410004,655200
2019-01-25,160.000000,163.639999,159.785004,162.820007,162.820007,980300
2019-01-28,159.679993,161.182007,158.380005,159.440002,159.440002,807200
2019-01-29,160.000000,160.500000,154.520004,157.110001,157.110001,1040900
2019-01-30,159.970001,162.979996,158.000000,162.429993,162.429993,712400
2019-01-31,162.470001,169.600006,161.919998,168.470001,168.470001,1661600
2019-02-01,168.360001,171.000000,167.509995,170.589996,170.589996,1248400
2019-02-04,170.619995,174.649994,170.259995,173.550003,173.550003,1172000
2019-02-05,173.649994,176.880005,173.360001,173.570007,173.570007,969500
2019-02-06,172.369995,174.500000,170.699997,173.600006,173.600006,736300
2019-02-07,171.279999,174.179993,171.087997,171.800003,171.800003,1408200
2019-02-08,170.220001,176.990005,169.600006,175.949997,175.949997,979500
2019-02-11,178.050003,180.000000,172.934998,173.169998,173.169998,2220100
2019-02-12,163.649994,175.889999,160.630005,175.550003,175.550003,5928000
2019-02-13,178.190002,180.000000,171.039993,172.020004,172.020004,2982700
2019-02-14,171.089996,177.240005,169.559998,176.520004,176.520004,1607600
2019-02-15,177.100006,178.720001,173.710007,178.190002,178.190002,1129200
2019-02-19,177.039993,185.070007,177.039993,181.300003,181.300003,2282800
2019-02-20,181.649994,184.190002,177.460007,179.210007,179.210007,1330600
2019-02-21,179.639999,180.358994,177.179993,178.470001,178.470001,974400
2019-02-22,180.000000,183.660004,179.356995,183.630005,183.630005,1017600
2019-02-25,185.820007,188.759995,184.479996,187.500000,187.500000,1271600
2019-02-26,186.080002,187.929993,183.850006,185.029999,185.029999,1045100
2019-02-27,185.169998,189.259995,184.800003,189.199997,189.199997,908200
2019-02-28,188.279999,191.130005,187.490005,189.149994,189.149994,865400
2019-03-01,190.850006,192.779999,189.292007,191.520004,191.520004,1126200
2019-03-04,192.380005,194.802994,182.369995,186.470001,186.470001,1606200
2019-03-05,186.570007,189.160004,184.350006,187.500000,187.500000,1005800
2019-03-06,187.500000,188.770004,184.110001,187.369995,187.369995,723800
2019-03-07,186.509995,190.380005,184.800003,186.940002,186.940002,734900
2019-03-08,182.179993,190.000000,181.000000,189.759995,189.759995,1262700
2019-03-11,190.990005,200.740005,190.990005,200.389999,200.389999,2058500
2019-03-12,201.000000,203.789993,197.050003,202.470001,202.470001,1328700
2019-03-13,203.500000,206.949997,202.360001,205.509995,205.509995,1177500
2019-03-14,204.320007,209.589996,203.389999,208.229996,208.229996,1219000
2019-03-15,208.869995,209.410004,203.619995,205.979996,205.979996,2337300
2019-03-18,204.500000,205.919998,201.449997,205.770004,205.770004,1248800
2019-03-19,207.699997,208.000000,197.653000,202.089996,202.089996,2215400
2019-03-20,200.529999,203.100006,198.729996,201.339996,201.339996,1401600
2019-03-21,200.320007,205.199997,198.815002,205.000000,205.000000,1721000
2019-03-22,204.399994,204.690002,198.610001,198.750000,198.750000,1530100
2019-03-25,198.050003,202.750000,196.470001,201.449997,201.449997,1257500
2019-03-26,203.630005,207.410004,202.729996,204.369995,204.369995,1165900
2019-03-27,205.660004,205.720001,196.610001,200.080002,200.080002,1020400
2019-03-28,200.830002,203.750000,197.000000,203.449997,203.449997,1114000
2019-03-29,205.880005,207.500000,203.190002,206.619995,206.619995,810100
2019-04-01,208.429993,210.100006,203.119995,206.039993,206.039993,1103200
2019-04-02,205.600006,206.050003,198.449997,201.460007,201.460007,2454900
2019-04-03,201.979996,205.800003,198.889999,205.119995,205.119995,2011000
2019-04-04,204.539993,205.009995,190.380005,194.750000,194.750000,4762100
2019-04-05,195.589996,198.020004,194.889999,196.649994,196.649994,1489900
2019-04-08,196.649994,200.889999,195.320007,200.240005,200.240005,1291300
2019-04-09,198.259995,204.220001,197.341003,203.960007,203.960007,1248200
2019-04-10,204.360001,207.440002,202.509995,206.500000,206.500000,880300
2019-04-11,207.580002,211.539993,206.309998,210.990005,210.990005,1334700
2019-04-12,212.820007,214.929993,212.110001,214.830002,214.830002,1197000
2019-04-15,214.830002,219.899994,213.619995,218.029999,218.029999,1759500
2019-04-16,219.779999,221.820007,213.610001,215.399994,215.399994,1338200
2019-04-17,216.800003,218.330002,211.309998,217.050003,217.050003,1064000
2019-04-18,217.130005,220.779999,213.130005,220.720001,220.720001,1287700
2019-04-22,220.000000,225.990005,219.169998,224.289993,224.289993,1316500
2019-04-23,226.500000,227.389999,222.100006,223.440002,223.440002,1881300
2019-04-24,224.600006,224.600006,218.623993,219.809998,219.809998,2023100
2019-04-25,220.690002,222.190002,216.619995,218.970001,218.970001,1667300
2019-04-26,219.000000,225.179993,219.000000,222.279999,222.279999,1388600
2019-04-29,225.330002,228.740005,223.529999,225.789993,225.789993,1940300
2019-04-30,226.440002,247.500000,226.440002,243.529999,243.529999,6223400
2019-05-01,242.850006,252.302002,237.389999,245.160004,245.160004,3184300
2019-05-02,245.880005,260.820007,245.500000,255.539993,255.539993,4054200
2019-05-03,259.000000,266.399994,254.789993,264.029999,264.029999,3349900
2019-05-06,257.200012,266.720001,255.119995,265.519989,265.519989,2916900
2019-05-07,264.359985,266.500000,254.699997,258.690002,258.690002,2589400
2019-05-08,258.700012,264.619995,257.510010,261.510010,261.510010,1847500
2019-05-09,258.880005,261.359985,254.119995,260.619995,260.619995,1831000
2019-05-10,260.429993,262.989990,252.639999,258.829987,258.829987,1674900
2019-05-13,247.910004,253.063004,245.619995,250.789993,250.789993,1938800
2019-05-14,245.000000,254.020004,242.229996,253.149994,253.149994,2097100
2019-05-15,250.610001,265.420013,250.039993,264.160004,264.160004,1931600
2019-05-16,265.359985,279.480011,265.100006,278.010010,278.010010,2975700
2019-05-17,276.679993,279.440002,271.579987,273.500000,273.500000,1667200
2019-05-20,270.029999,273.000000,264.739990,267.190002,267.190002,1856100
2019-05-21,272.040009,273.597992,269.510010,272.809998,272.809998,1110400
2019-05-22,271.709991,280.950012,271.390015,279.000000,279.000000,1252000
2019-05-23,275.000000,277.980011,268.000000,271.619995,271.619995,1530300
2019-05-24,274.500000,278.880005,272.515015,275.850006,275.850006,1163400
2019-05-28,278.350006,285.959991,278.299988,282.429993,282.429993,1538900
2019-05-29,280.000000,280.299988,270.519989,272.679993,272.679993,1673800
2019-05-30,275.100006,277.820007,270.799988,277.049988,277.049988,1290900
2019-05-31,273.359985,278.970001,272.160004,274.899994,274.899994,1087800
2019-06-03,274.279999,277.510010,262.170013,265.000000,265.000000,2535800
2019-06-04,268.470001,274.100006,264.109985,274.000000,274.000000,1603000
2019-06-05,277.220001,292.859985,277.119995,292.519989,292.519989,2342100
2019-06-06,291.839996,299.109985,289.010010,297.059998,297.059998,1867300
2019-06-07,298.660004,309.369995,298.399994,305.049988,305.049988,2344700
2019-06-10,309.149994,315.600006,304.440002,306.730011,306.730011,1716100
2019-06-11,309.600006,311.510010,298.570007,306.709991,306.709991,1847800
2019-06-12,304.480011,312.700012,302.000000,310.140015,310.140015,1124600
2019-06-13,312.910004,314.095001,305.640015,306.989990,306.989990,1043400
2019-06-14,305.410004,306.420013,301.940002,305.109985,305.109985,751000
2019-06-17,304.450012,307.880005,303.049988,305.850006,305.850006,703500
2019-06-18,310.000000,311.380005,303.739990,304.209991,304.209991,1104900
2019-06-19,305.510010,327.690002,302.399994,327.019989,327.019989,2980200
2019-06-20,331.500000,338.940002,326.000000,328.010010,328.010010,3108800
2019-06-21,328.000000,331.369995,324.100006,326.850006,326.850006,1446000
2019-06-24,323.339996,324.480011,311.049988,311.829987,311.829987,2179600
2019-06-25,306.989990,309.630005,281.750000,284.040009,284.040009,4953000
2019-06-26,289.019989,295.519989,281.690002,289.029999,289.029999,2334000
2019-06-27,290.500000,302.440002,289.500000,300.959991,300.959991,1814500
2019-06-28,303.299988,304.290009,292.339996,300.149994,300.149994,1500900
2019-07-01,308.600006,308.769989,300.329987,304.679993,304.679993,1344000
2019-07-02,305.390015,314.660004,305.000000,311.959991,311.959991,1298800
2019-07-03,310.890015,318.339996,310.279999,313.329987,313.329987,966400
2019-07-05,311.010010,313.929993,303.410004,313.720001,313.720001,1318300
2019-07-08,314.440002,329.799988,312.959991,321.000000,321.000000,2548700
2019-07-09,322.410004,324.429993,319.500000,321.980011,321.980011,1740700
2019-07-10,324.529999,326.989990,318.510010,319.010010,319.010010,1275700
2019-07-11,319.000000,319.789001,314.239990,315.000000,315.000000,1238300
2019-07-12,315.000000,315.778015,302.570007,310.019989,310.019989,2024800
2019-07-15,309.940002,324.290009,306.016998,324.019989,324.019989,1841300
2019-07-16,323.660004,324.799988,315.869995,317.390015,317.390015,1336900
2019-07-17,319.320007,336.950012,319.032990,325.320007,325.320007,3748200
2019-07-18,325.750000,333.260010,322.609985,331.149994,331.149994,1678500
2019-07-19,333.149994,339.000000,329.679993,330.000000,330.000000,1478900
2019-07-22,331.920013,340.835999,331.510010,335.239990,335.239990,1870900
2019-07-23,337.000000,338.959991,328.600006,330.220001,330.220001,1664100
2019-07-24,330.510010,331.825989,324.109985,329.570007,329.570007,1888900
2019-07-25,330.910004,338.739990,327.746002,333.339996,333.339996,1498400
2019-07-26,332.940002,338.970001,332.320007,336.540009,336.540009,1120200
2019-07-29,336.350006,337.029999,313.531006,319.709991,319.709991,2223400
2019-07-30,314.000000,322.339996,310.359985,314.299988,314.299988,1776100
2019-07-31,316.510010,320.980011,310.359985,317.880005,317.880005,1836300
2019-08-01,334.010010,350.790009,328.010010,341.390015,341.390015,4612800
2019-08-02,341.230011,341.230011,322.670013,332.190002,332.190002,1980600
2019-08-05,313.869995,327.500000,313.390015,321.390015,321.390015,2391300
2019-08-06,327.410004,333.380005,324.399994,332.670013,332.670013,1772600
2019-08-07,330.079987,342.829987,328.529999,341.309998,341.309998,1767900
2019-08-08,344.010010,358.579987,342.339996,357.809998,357.809998,1885200
2019-08-09,354.500000,371.630005,354.250000,369.950012,369.950012,2361400
2019-08-12,367.000000,372.359985,361.250000,366.730011,366.730011,1705800
2019-08-13,364.000000,370.700012,355.329987,369.230011,369.230011,1921900
2019-08-14,360.369995,366.940002,347.549988,352.799988,352.799988,2397700
2019-08-15,355.000000,359.500000,347.679993,351.070007,351.070007,1582200
2019-08-16,356.089996,361.070007,351.458008,358.739990,358.739990,1320600
2019-08-19,363.739990,365.910004,359.109985,361.829987,361.829987,1200700
2019-08-20,361.459991,376.299988,359.320007,374.970001,374.970001,2071700
2019-08-21,381.429993,391.450012,377.500000,389.829987,389.829987,2421200
2019-08-22,391.880005,392.829987,380.019989,388.540009,388.540009,2084800
2019-08-23,387.989990,401.164001,381.250000,382.750000,382.750000,2902400
2019-08-26,388.609985,397.959991,384.119995,395.959991,395.959991,1996200
2019-08-27,402.700012,409.609985,398.500000,406.989990,406.989990,2791900
2019-08-28,406.369995,407.880005,390.820007,394.799988,394.799988,2743600
2019-08-29,402.250000,403.000000,391.709991,391.709991,391.709991,2407400
2019-08-30,393.619995,394.440002,371.730011,385.390015,385.390015,2922600
2019-09-03,384.000000,392.799988,380.200012,383.910004,383.910004,1965500
2019-09-04,389.700012,391.489990,382.500000,386.489990,386.489990,1339900
2019-09-05,387.700012,392.994995,380.380005,392.720001,392.720001,2218500
2019-09-06,393.489990,395.750000,380.140015,380.420013,380.420013,1723700
2019-09-09,384.019989,384.019989,350.325012,358.670013,358.670013,4518100
2019-09-10,352.500000,355.309998,335.089996,337.239990,337.239990,5254600
2019-09-11,338.399994,350.700012,336.100006,347.510010,347.510010,3215200
2019-09-12,354.970001,360.820007,351.109985,356.630005,356.630005,3080000
2019-09-13,356.529999,357.500000,337.640015,338.309998,338.309998,2676600
2019-09-16,328.510010,343.450012,324.510010,337.929993,337.929993,2855300
2019-09-17,324.589996,334.730011,323.429993,328.820007,328.820007,5533500
2019-09-18,331.070007,331.890015,317.549988,325.850006,325.850006,2701100
2019-09-19,328.339996,331.850006,321.220001,325.000000,325.000000,1766900
